"word","freq"
"(c)",299
"the",291
"corporate",261
"governance",247
"2007",215
"blackwell",160
"copyright",160
"publishing",160
"board",153
"compilation",148
"journal",148
"ltd.",148
"authors;",107
"this",105
"firms",96
"paper",95
"2006",84
"ownership",78
"performance",77
"firm",73
"directors",69
"results",64
"boards",53
"companies",52
"financial",52
"study",52
"available",46
"research",46
"large",45
"relationship",44
"role",42
"author;",41
"item.",40
"outside",40
"earnings",39
"can",38
"however,",37
"ceo",36
"control",36
"external",35
"two",35
"structure",34
"also",33
"impact",33
"performance.",33
"social",33
"evidence",32
"information",32
"management",32
"findings",31
"our",31
"shareholders",31
"using",30
"practices",29
"stock",29
"company",28
"investment",28
"listed",28
"suggest",28
"business",27
"different",27
"market",27
"significant",27
"director",26
"internal",26
"analysis",25
"capital",25
"shareholder",25
"examines",24
"recent",24
"audit",23
"value",23
"whether",23
"will",23
"based",22
"changes",22
"characteristics",22
"code",22
"data",22
"institutional",22
"show",22
"studies",22
"these",22
"article",21
"directors'",21
"environmental",21
"higher",21
"mechanisms",21
"sample",21
"empirical",20
"firms.",20
"model",20
"agency",19
"executive",19
"high",19
"investors",19
"managers",19
"new",19
"one",19
"issue",18
"managerial",18
"may",18
"associated",17
"csr",17
"disclosure",17
"effect",17
"following",17
"importance",17
"practice",17
"effective",16
"firm's",16
"good",16
"implications",16
"indicate",16
"issues",16
"key",16
"level",16
"lower",16
"number",16
"significantly",16
"theory",16
"three",16
"change",15
"directors.",15
"diversity",15
"effects",15
"extent",15
"less",15
"likely",15
"performance,",15
"positive",15
"potential",15
"provide",15
"use",15
"analyse",14
"best",14
"codes",14
"consistent",14
"economic",14
"examine",14
"examining",14
"family",14
"influence",14
"literature",14
"many",14
"order",14
"public",14
"support",14
"transparency",14
"universal",14
"within",14
"2005.",13
"among",13
"australian",13
"compensation",13
"differences",13
"important",13
"long-term",13
"members",13
"proxy",13
"quality",13
"reform",13
"related",13
"shareholders.",13
"strong",13
"terms",13
"women",13
"across",12
"asian",12
"bank",12
"committee",12
"compliance",12
"composition",12
"controlling",12
"corporations",12
"effectiveness",12
"firms'",12
"found",12
"four",12
"governance,",12
"governance.",12
"government",12
"independent",12
"investigate",12
"investor",12
"ltd",12
"non-executive",12
"often",12
"organisational",12
"pay",12
"per",12
"poor",12
"previous",12
"reforms",12
"reports",12
"returns",12
"small",12
"voting",12
"while",12
"annual",11
"concentration",11
"countries",11
"countries.",11
"decisions",11
"framework",11
"future",11
"increase",11
"legal",11
"main",11
"need",11
"period",11
"portfolio",11
"relation",11
"result",11
"roles",11
"strategy",11
"there",11
"time",11
"used",11
"analyses",10
"association",10
"boards'",10
"boards.",10
"committees",10
"degree",10
"either",10
"exchange",10
"expectations",10
"institutions",10
"international",10
"largest",10
"majority",10
"management.",10
"measures",10
"multiple",10
"network",10
"power",10
"proportion",10
"risk",10
"size",10
"understand",10
"way",10
"address",9
"anglo-saxon",9
"appear",9
"companies.",9
"costs",9
"developing",9
"evaluation",9
"firms,",9
"first",9
"foreign",9
"greater",9
"independence",9
"lack",9
"largely",9
"low",9
"mechanism",9
"monitoring",9
"moreover,",9
"much",9
"must",9
"now",9
"organisations",9
"policy",9
"positively",9
"practices.",9
"respect",9
"rights",9
