"word","n"
"governance",285
"corporate",265
"board",170
"blackwell",160
"copyright",160
"publishing",160
"journal",150
"compilation",148
"performance",133
"directors",111
"authors",109
"paper",101
"ownership",92
"firm",82
"boards",74
"companies",67
"shareholders",60
"study",59
"financial",56
"research",55
"management",50
"structure",48
"practices",46
"relationship",45
"market",44
"role",44
"control",43
"author",41
"ceo",41
"earnings",41
"information",37
"investors",36
"company",35
"external",35
"impact",34
"social",34
"analysis",33
"evidence",32
"executive",32
"findings",32
"stock",32
"based",31
"investment",31
"level",31
"capital",30
"listed",30
"studies",30
"business",29
"countries",29
"audit",28
"code",28
"director",28
"model",28
"shareholder",28
"suggest",28
"characteristics",27
"mechanisms",27
"significant",27
"theory",27
"uk",27
"effect",26
"internal",26
"compliance",24
"examines",24
"recent",24
"csr",23
"data",23
"disclosure",23
"sample",23
"environmental",22
"institutional",22
"practice",22
"article",21
"compensation",21
"issues",21
"literature",21
"agency",20
"change",20
"empirical",20
"issue",20
"size",20
"managers",19
"pay",19
"codes",18
"committees",18
"effective",18
"extent",18
"importance",18
"lower",18
"managerial",18
"related",18
"approach",17
"diversity",17
"family",17
"implications",17
"term",17
"decisions",16
"environment",16
"firm's",16
"government",16
"key",16
"quality",16
"rights",16
"significantly",16
"universal",16
"anglo",15
"crisis",15
"independence",15
"positive",15
"potential",15
"provide",15
"public",15
"reform",15
"reforms",15
"reports",15
"returns",15
"risk",15
"structures",15
"analyse",14
"committee",14
"composition",14
"consistent",14
"context",14
"corporations",14
"economic",14
"effectiveness",14
"examine",14
"examining",14
"found",14
"independent",14
"influence",14
"period",14
"shares",14
"strategy",14
"support",14
"system",14
"time",14
"transparency",14
"women",14
"australian",13
"behaviour",13
"controlling",13
"differences",13
"framework",13
"hairsp",13
"industry",13
"institutions",13
"investor",13
"organisational",13
"portfolio",13
"privatisation",13
"proxy",13
"roles",13
"strong",13
"terms",13
"voting",13
"asian",12
"bank",12
"concentration",12
"future",12
"investigate",12
"leadership",12
"measures",12
"poor",12
"previous",12
"result",12
"saxon",12
"standards",12
"systems",12
"analysed",11
"annual",11
"auditor",11
"costs",11
"directorships",11
"exchange",11
"expectations",11
"law",11
"legal",11
"low",11
"main",11
"mechanism",11
"monitoring",11
"opportunities",11
"organisations",11
"power",11
"process",11
"proportion",11
"relation",11
"specifically",11
"address",10
"analyses",10
"association",10
"cent",10
"degree",10
"evaluation",10
"executives",10
"explain",10
"gap",10
"insider",10
"international",10
"largest",10
"majority",10
"multiple",10
"network",10
"owner",10
"processes",10
"remuneration",10
"sector",10
"service",10
"share",10
"task",10
"understand",10
"assets",9
"asymmetry",9
"attention",9
"blockholders",9
"ceos",9
"country",9
"developing",9
"equity",9
"finally",9
"foreign",9
"funds",9
"global",9
"increased",9
"increasing",9
"index",9
"lack",9
"measure",9
"policy",9
"positively",9
"post",9
"report",9
"reporting",9
"respect",9
"responsibility",9
"review",9
"stakeholders",9
"test",9
"theoretical",9
"total",9
"united",9
"voluntary",9
"weak",9
"world",9
"activity",8
"addition",8
"affects",8
"average",8
"black",8
"combined",8
"conducted",8
"convergence",8
"defined",8
"developed",8
"direct",8
"due",8
"emerging",8
"european",8
"factors",8
"focuses",8
"growth",8
"hypothesis",8
"i.e",8
"initiatives",8
"korean",8
"limited",8
"local",8
"national",8
"nature",8
"negative",8
"options",8
"position",8
"prior",8
"profit",8
"profitability",8
"providing",8
"recommendations",8
"reflect",8
"regulation",8
"set",8
"spanish",8
"specific",8
"sri",8
"strategic",8
"suggests",8
"types",8
"values",8
"view",8
"accounting",7
"activities",7
"affect",7
"american",7
"arrangements",7
"aspects",7
"board's",7
"chaebol",7
"communication",7
"community",7
"compared",7
"complex",7
"concentrated",7
"criteria",7
"critical",7
"decision",7
"ensure",7
"existence",7
"flow",7
"focus",7
"form",7
"gender",7
"greek",7
"identified",7
"improve",7
"increasingly",7
"insiders",7
"investigates",7
"investments",7
"levels",7
"leverage",7
"line",7
"link",7
"maturity",7
"measured",7
"modern",7
"mutual",7
"past",7
"principles",7
"purpose",7
"regulatory",7
"reported",7
"requirements",7
"society",7
"sr",7
"sustainability",7
"tend",7
"traditional",7
"variables",7
"vote",7
"action",6
"activism",6
"adopted",6
"al",6
"assess",6
"attempts",6
"attitudes",6
"benefits",6
"cash",6
"categories",6
"chairs",6
"changing",6
"company's",6
"complexity",6
"concerns",6
"conclude",6
"concludes",6
"conditions",6
"conduct",6
"content",6
"contribution",6
"controls",6
"cross",6
"culture",6
"current",6
"debate",6
"debt",6
"demonstrate",6
"develop",6
"development",6
"developments",6
"duality",6
"economies",6
"economy",6
"efficiency",6
"efforts",6
"enforcement",6
"engagement",6
"evaluations",6
"extant",6
"field",6
"fund",6
"including",6
"increases",6
"interaction",6
"labour",6
"lcs",6
"leading",6
"macroeconomic",6
"major",6
"meet",6
"models",6
"nlcs",6
"objective",6
"observed",6
"offers",6
"oriented",6
"outcomes",6
"owned",6
"owners",6
"played",6
"price",6
"private",6
"publicly",6
"rate",6
"rating",6
"reasons",6
"regime",6
"relevant",6
"requires",6
"rules",6
"scandals",6
"seeking",6
"services",6
"socially",6
"stewardship",6
"stronger",6
"survey",6
"tool",6
"trust",6
"turnover",6
"ability",5
"ac",5
"accruals",5
"acs",5
"alternative",5
"authority",5
"benefit",5
"blockholder",5
"boardroom",5
"cadbury",5
"challenges",5
"china",5
"chinese",5
"compare",5
"concept",5
"considerable",5
"contacts",5
"contributes",5
"cost",5
"de",5
"discretionary",5
"discussed",5
"document",5
"dual",5
"emphasis",5
"empirically",5
"employees",5
"enhance",5
"esos",5
"established",5
"ethical",5
"exhibit",5
"experience",5
"explore",5
"explores",5
"fiduciary",5
"finance",5
"focused",5
"forecasts",5
"held",5
"highlight",5
"highly",5
"hostile",5
"hypothesised",5
"incentives",5
"included",5
"individual",5
"influenced",5
"informativeness",5
"inside",5
"instrument",5
"leads",5
"linear",5
"medium",5
"minority",5
"moderating",5
"nigeria",5
"offer",5
"option",5
"panel",5
"perceived",5
"potentially",5
"presence",5
"primarily",5
"procedures",5
"productivity",5
"profits",5
"promoting",5
"propose",5
"reference",5
"relations",5
"relationships",5
"relative",5
"resources",5
"se",5
"simultaneous",5
"standard",5
"strategies",5
"swiss",5
"taiwan",5
"top",5
"unique",5
"voice",5
"access",4
"account",4
"achieving",4
"acquisitions",4
"actions",4
"active",4
"actual",4
"adoption",4
"age",4
"agm",4
"analysing",4
"analysts",4
"approaches",4
"argue",4
"argued",4
"arguments",4
"asia",4
"assessment",4
"assurance",4
"australia",4
"background",4
"balance",4
"banking",4
"banks",4
"buying",4
"call",4
"canada",4
"chair",4
"characterised",4
"choice",4
"choix",4
"circumstances",4
"class",4
"collaboration",4
"collaborative",4
"collective",4
"competence",4
"concepts",4
"conclusion",4
"conclusions",4
"conference",4
"conflicts",4
"conglomerate",4
"consent",4
"considers",4
"constraining",4
"contrast",4
"conventional",4
"corporation",4
"corruption",4
"council",4
"creation",4
"czech",4
"dataset",4
"decade",4
"declines",4
"democracy",4
"democratic",4
"demographic",4
"dependent",4
"determinants",4
"determining",4
"difference",4
"discusses",4
"discussion",4
"drug",4
"endogeneity",4
"endogenous",4
"environmentalists",4
"equation",4
"evaluate",4
"evaluated",4
"evaluates",4
"evaluating",4
"examination",4
"execution",4
"exist",4
"exists",4
"exit",4
"expected",4
"explained",4
"explanations",4
"female",4
"fraction",4
"gaining",4
"german",4
"globalisation",4
"guiding",4
"historical",4
"holdings",4
"identify",4
"ii",4
"iii",4
"improvement",4
"improvements",4
"include",4
"incumbent",4
"industrial",4
"integrated",4
"introduction",4
"investing",4
"japan",4
"led",4
"life",4
"losses",4
"malaysia",4
"matter",4
"monitor",4
"move",4
"netherlands",4
"notion",4
"organisation",4
"outline",4
"oxley",4
"participation",4
"pension",4
"perform",4
"perspective",4
"perspectives",4
"political",4
"portfolios",4
"positions",4
"pressure",4
"promote",4
"promotion",4
"provisions",4
"published",4
"qualified",4
"question",4
"questions",4
"ratings",4
"ratio",4
"recently",4
"regard",4
"regarded",4
"regulations",4
"remain",4
"representation",4
"republic",4
"resource",4
"responsibilities",4
"responsible",4
"return",4
"reveals",4
"reverse",4
"sarbanes",4
"schemes",4
"seek",4
"sensitivity",4
"separate",4
"serve",4
"shift",4
"similar",4
"single",4
"smoothing",4
"sources",4
"south",4
"stability",4
"stakeholder",4
"status",4
"subsidiaries",4
"substantial",4
"supports",4
"sustainable",4
"systematic",4
"taking",4
"tasks",4
"technology",4
"trusts",4
"turkish",4
"type",4
"union",4
"unions",4
"utility",4
"variations",4
"versus",4
"views",4
"weaker",4
"weaknesses",4
"world's",4
"worldwide",4
"academic",3
"accountability",3
"act",3
"actuarial",3
"adding",3
"additional",3
"addressed",3
"affiliation",3
"african",3
"agenda",3
"agreements",3
"aim",3
"announcements",3
"argues",3
"argument",3
"assessing",3
"assignment",3
"attractive",3
"auditors",3
"bangladesh",3
"bank's",3
"biggest",3
"bring",3
"bs",3
"building",3
"calls",3
"calpers",3
"canadian",3
"career",3
"chances",3
"choices",3
"closely",3
"collapse",3
"common",3
"comply",3
"components",3
"comprehensive",3
"consensus",3
"consequence",3
"contests",3
"contrary",3
"contribute",3
"country's",3
"courts",3
"created",3
"credit",3
"currency",3
"customers",3
"cyprus",3
"danish",3
"dans",3
"demonstrates",3
"density",3
"depending",3
"des",3
"deviations",3
"differs",3
"difficult",3
"directly",3
"discuss",3
"dispersed",3
"distinct",3
"diversified",3
"dutch",3
"e.g",3
"educational",3
"effectively",3
"efficient",3
"elements",3
"employ",3
"employed",3
"employee",3
"enhances",3
"enterprise",3
"enterprises",3
"environments",3
"ethics",3
"ethnic",3
"evolving",3
"examined",3
"exercise",3
"experiences",3
"exploring",3
"expropriation",3
"extend",3
"faced",3
"facilitate",3
"failure",3
"finding",3
"fit",3
"focusing",3
"follow",3
"forecast",3
"formal",3
"function",3
"fundamental",3
"funding",3
"gathering",3
"gestionnaires",3
"governed",3
"grants",3
"growing",3
"harmonisation",3
