"word","n"
"risk",108
"market",90
"returns",82
"model",77
"information",63
"investors",62
"price",58
"financial",56
"data",47
"capital",43
"credit",43
"funds",42
"stock",42
"trade",42
"liquidity",41
"evidence",40
"performance",40
"equity",38
"shocks",37
"assets",35
"effect",35
"investment",32
"firm",31
"stocks",31
"paper",30
"time",30
"models",29
"banks",28
"consistent",28
"expected",28
"fund",28
"pricing",28
"private",28
"study",28
"bank",26
"level",26
"equilibrium",25
"growth",25
"short",25
"traders",25
"volatility",25
"debt",24
"low",24
"lower",24
"rates",24
"based",23
"managers",23
"return",23
"u.s",23
"future",22
"leverage",22
"cross",21
"dealers",21
"develop",21
"factors",21
"premium",21
"default",20
"consumption",19
"costs",19
"news",19
"demand",18
"increases",18
"optimal",18
"option",18
"rate",18
"relative",18
"sample",18
"significant",18
"spreads",18
"support",18
"term",18
"times",18
"variation",18
"aggregate",17
"average",17
"behavior",17
"bond",17
"cost",17
"findings",17
"investor",17
"mutual",17
"network",17
"provide",17
"theory",17
"countries",16
"explain",16
"factor",16
"frictions",16
"public",16
"bonds",15
"contracts",15
"dynamic",15
"empirical",15
"expectations",15
"loans",15
"measure",15
"predictions",15
"profitability",15
"quality",15
"real",15
"size",15
"tax",15
"account",14
"central",14
"due",14
"dynamics",14
"earnings",14
"economic",14
"estimate",14
"household",14
"management",14
"portfolio",14
"result",14
"role",14
"share",14
"unique",14
"arbitrage",13
"arbitrageurs",13
"banking",13
"compensation",13
"constraints",13
"corporate",13
"decisions",13
"exposure",13
"fees",13
"finance",13
"identify",13
"increased",13
"informed",13
"institutions",13
"leads",13
"portfolios",13
"premia",13
"search",13
"suggests",13
"supply",13
"taking",13
"variance",13
"volume",13
"agents",12
"component",12
"disagreement",12
"examine",12
"exploit",12
"financing",12
"firm's",12
"house",12
"industry",12
"labor",12
"net",12
"ownership",12
"positive",12
"relation",12
"section",12
"significantly",12
"social",12
"test",12
"affects",11
"alternative",11
"bad",11
"cash",11
"economy",11
"funding",11
"hedging",11
"impact",11
"negative",11
"policy",11
"preferences",11
"probability",11
"standard",11
"studies",11
"suggest",11
"uncertainty",11
"affect",10
"collateral",10
"common",10
"incentives",10
"income",10
"index",10
"individual",10
"institutional",10
"larger",10
"networks",10
"pension",10
"profits",10
"propose",10
"ratings",10
"relationships",10
"securities",10
"ability",9
"access",9
"analysts",9
"belief",9
"benchmark",9
"commitment",9
"currency",9
"current",9
"customers",9
"dealer",9
"demonstrate",9
"differences",9
"document",9
"driven",9
"features",9
"flows",9
"global",9
"hfts",9
"households",9
"implications",9
"increasing",9
"influence",9
"investigate",9
"marginal",9
"mortgage",9
"persistent",9
"production",9
"provision",9
"run",9
"sales",9
"shareholders",9
"skill",9
"structure",9
"wealth",9
"welfare",9
"a",8
"active",8
"adverse",8
"analysis",8
"basis",8
"beliefs",8
"borrowing",8
"cds",8
"change",8
"characteristics",8
"correlated",8
"crisis",8
"diversification",8
"empirically",8
"employment",8
"exchange",8
"exogenous",8
"forecast",8
"generates",8
"insurance",8
"international",8
"issuer",8
"leading",8
"learning",8
"limit",8
"mechanism",8
"momentum",8
"noise",8
"period",8
"power",8
"related",8
"resulting",8
"shock",8
"spread",8
"strong",8
"stronger",8
"systematic",8
"theories",8
"trades",8
"turnover",8
"advisors",7
"allocation",7
"analyze",7
"anomalies",7
"anomaly",7
"benefit",7
"benefits",7
"biased",7
"book",7
"borrow",7
"borrower",7
"capacity",7
"capture",7
"clients",7
"conflicts",7
"contrast",7
"coworkers",7
"discovery",7
"dividends",7
"efficiency",7
"efficient",7
"errors",7
"experience",7
"explained",7
"foreign",7
"free",7
"futures",7
"generate",7
"helps",7
"heterogeneous",7
"housing",7
"improve",7
"individuals",7
"lenders",7
"loan",7
"major",7
"monetary",7
"opportunities",7
"options",7
"outcomes",7
"paid",7
"periods",7
"poor",7
"predictability",7
"ratios",7
"recent",7
"reduce",7
"retail",7
"seeking",7
"sensation",7
"sentiment",7
"series",7
"set",7
"setting",7
"similar",7
"stochastic",7
"strategy",7
"strongly",7
"sustainability",7
"terms",7
"tests",7
"traded",7
"transaction",7
"venture",7
"advantage",6
"allocations",6
"alpha",6
"analyst",6
"annual",6
"asymmetric",6
"averse",6
"billion",6
"borrowed",6
"brokers",6
"buyers",6
"captive",6
"channel",6
"choice",6
"conditions",6
"controlling",6
"costly",6
"cycle",6
"deposit",6
"derive",6
"difference",6
"direct",6
"discount",6
"dispersion",6
"excess",6
"experiments",6
"extent",6
"flow",6
"form",6
"frequency",6
"gains",6
"highly",6
"hold",6
"implies",6
"induced",6
"intensive",6
"ipo",6
"laboratory",6
"laws",6
"lead",6
"magnitude",6
"misconduct",6
"multiple",6
"observed",6
"parents",6
"past",6
"patterns",6
"personal",6
"play",6
"positions",6
"potential",6
"predicts",6
"priced",6
"productivity",6
"proprietary",6
"reduces",6
"reducing",6
"response",6
"responses",6
"risks",6
"sectional",6
"selling",6
"sorted",6
"substantial",6
"swap",6
"theoretical",6
"underperform",6
"uninformed",6
"version",6
"world",6
"yield",6
"accounts",5
"additional",5
"advance",5
"advisor's",5
"affiliated",5
"amount",5
"argue",5
"assess",5
"behavioral",5
"call",5
"carry",5
"causal",5
"cdb",5
"characteristic",5
"children",5
"cognitive",5
"commit",5
"committee",5
"concerns",5
"condition",5
"conditional",5
"connected",5
"construct",5
"crowd",5
"currencies",5
"deals",5
"decision",5
"decreases",5
"decreasing",5
"delay",5
"depends",5
"determinant",5
"determined",5
"deviations",5
"easily",5
"effort",5
"employees",5
"endogenous",5
"error",5
"exhibit",5
"exist",5
"exploiting",5
"feature",5
"fixed",5
"forecasts",5
"framework",5
"fundamentals",5
"governance",5
"government",5
"heterogeneity",5
"hml",5
"holdings",5
"idea",5
"ii",5
"improves",5
"incentive",5
"including",5
"industries",5
"insurers",5
"introduce",5
"key",5
"life",5
"limited",5
"lmi",5
"losses",5
"matching",5
"mispricing",5
"model's",5
"moderate",5
"money",5
"motivated",5
"offer",5
"output",5
"participation",5
"pay",5
"payments",5
"policies",5
"post",5
"potentially",5
"predict",5
"predictors",5
"productive",5
"products",5
"professionals",5
"purchases",5
"pure",5
"raise",5
"rank",5
"realized",5
"relationship",5
"rights",5
"routine",5
"selection",5
"sell",5
"sharpe",5
"shift",5
"signal",5
"signals",5
"sources",5
"studying",5
"task",5
"uniqueness",5
"valuation",5
"valuations",5
"values",5
"adjustments",4
"alphas",4
"approach",4
"balance",4
"bankruptcy",4
"bayesian",4
"beta",4
"betas",4
"bias",4
"boards",4
"build",4
"capitalists",4
"captures",4
"cc",4
"ce",4
"ceo",4
"choices",4
"choose",4
"close",4
"communication",4
"compared",4
"competition",4
"concentration",4
"constant",4
"constrained",4
"contract",4
"contrary",4
"control",4
"counter",4
"crash",4
"creates",4
"cursed",4
"cycles",4
"days",4
"decentralized",4
"demands",4
"dependent",4
"design",4
"deviation",4
"direction",4
"distressed",4
"distributions",4
"dividend",4
"dominated",4
"e.g",4
"earn",4
"economically",4
"education",4
"emerging",4
"employee",4
"equilibria",4
"estimated",4
"evolution",4
"execution",4
"exercise",4
"experiment",4
"experimental",4
"explore",4
"fed",4
"fee",4
"finally",4
"foreclosure",4
"formation",4
"fraction",4
"fragility",4
"fvas",4
"gain",4
"half",4
"hand",4
"harder",4
"hedge",4
"herding",4
"holding",4
"holds",4
"identical",4
"identification",4
"illiquidity",4
"importance",4
"incentivized",4
"include",4
"independent",4
"indices",4
"inefficiently",4
"informational",4
