"word","freq"
"available",102
"item.",102
"risk",75
"optimal",70
"model",66
"problem",66
"the",65
"can",59
"market",51
"this",49
"models",46
"stochastic",45
"price",42
"show",41
"volatility",39
"general",36
"process",36
"also",33
"study",33
"provide",31
"two",31
"asset",30
"portfolio",30
"value",30
"financial",29
"consider",28
"results",27
"trading",25
"pricing",24
"strategies",24
"using",23
"default",22
"derive",22
"options",22
"paper",22
"prices",22
"order",21
"capital",20
"framework",20
"function",20
"rate",20
"solution",20
"utility",20
"class",19
"new",19
"one",19
"based",18
"measures",18
"paper,",18
"local",17
"obtain",17
"valuation",17
"credit",16
"dynamic",16
"martingale",16
"models,",16
"strategy",16
"assets",15
"explicit",15
"investment",15
"limit",15
"numerical",15
"probability",15
"traded",15
"european",14
"expected",14
"method",14
"our",14
"prove",14
"version",14
"well",14
"another",13
"brownian",13
"constant",13
"convergence",13
"differential",13
"large",13
"may",13
"option",13
"performance",13
"rates",13
"robust",13
"selection",13
"term",13
"agents",12
"arbitrage",12
"asymptotic",12
"classical",12
"develop",12
"dynamics",12
"exercise",12
"existence",12
"illustrate",12
"implied",12
"investor",12
"jump",12
"model,",12
"model.",12
"relative",12
"set",12
"standard",12
"transaction",12
"approximation",11
"cash",11
"conditions",11
"corresponding",11
"distribution",11
"factor",11
"finally,",11
"first",11
"given",11
"including",11
"long",11
"markets",11
"measure",11
"models.",11
"particular,",11
"problems",11
"process.",11
"proportional",11
"risky",11
"state",11
"terms",11
"time",11
"agent",10
"borrowed",10
"bounds",10
"call",10
"convex",10
"costs.",10
"dual",10
"even",10
"exponential",10
"give",10
"hedging",10
"impact",10
"item.)",10
"leads",10
"liquidation",10
"multiple",10
"problem.",10
"propose",10
"proposed",10
"stock",10
"underlying",10
"use",10
"affine",9
"analyze",9
"apply",9
"behavior",9
"consistent",9
"control",9
"diffusion",9
"duality",9
"exhibit",9
"functions",9
"fund",9
"however,",9
"introduce",9
"losses",9
"lower",9
"modeling",9
"obtained",9
"particular",9
"stopping",9
"theorem",9
"theory",9
"time.",9
"allocation",8
"american",8
"analysis",8
"certain",8
"continuous",8
"dependence",8
"establish",8
"explicitly",8
"filtering",8
"formulas",8
"fractional",8
"illiquid",8
"includes",8
"interest",8
"known",8
"liquidity",8
"longa£á",8
"moreover,",8
"number",8
"payoffs",8
"random",8
"risk,",8
"semimartingale",8
"short",8
"strategies.",8
"studies",8
