"word","n"
"risk",102
"model",95
"optimal",75
"models",74
"market",60
"process",50
"volatility",49
"price",48
"stochastic",47
"paper",41
"portfolio",38
"options",37
"study",35
"time",35
"strategies",33
"pricing",31
"provide",31
"approach",29
"financial",29
"rate",26
"framework",25
"measures",25
"solution",25
"default",24
"function",24
"utility",24
"assets",22
"derive",22
"class",21
"strategy",21
"capital",20
"costs",20
"based",19
"conditions",19
"local",19
"martingale",19
"hedging",18
"obtain",18
"payoffs",18
"processes",18
"rates",18
"arbitrage",17
"dynamic",17
"investment",17
"valuation",17
"constant",16
"credit",16
"european",16
"explicit",16
"measure",16
"method",16
"probability",16
"term",16
"form",15
"functions",15
"limit",15
"numerical",15
"traded",15
"brownian",14
"convergence",14
"dependent",14
"differential",14
"expected",14
"factor",14
"investor",14
"jump",14
"loss",14
"option",14
"performance",14
"prove",14
"robust",14
"set",14
"version",14
"agents",13
"approximation",13
"dimensional",13
"distribution",13
"dynamics",13
"exercise",13
"implied",13
"relative",13
"selection",13
"structure",13
"theorem",13
"theory",13
"transaction",13
"type",13
"asymptotic",12
"call",12
"classical",12
"consistent",12
"convex",12
"develop",12
"duality",12
"equation",12
"existence",12
"illustrate",12
"including",12
"liquidity",12
"losses",12
"multiple",12
"standard",12
"agent",11
"analysis",11
"bounds",11
"cash",11
"continuous",11
"diffusion",11
"exponential",11
"finally",11
"finite",11
"free",11
"impact",11
"investors",11
"liquidation",11
"lower",11
"proportional",11
"risky",11
"stock",11
"terms",11
"uncertainty",11
"allocation",10
"apply",10
"behavior",10
"borrowed",10
"dual",10
"factors",10
"fund",10
"leads",10
"modeling",10
"obtained",10
"propose",10
"proposed",10
"setting",10
"short",10
"stopping",10
"underlying",10
"a",9
"affine",9
"analyze",9
"applications",9
"control",9
"equations",9
"establish",9
"examples",9
"exhibit",9
"explicitly",9
"formulas",9
"growth",9
"illiquid",9
"independent",9
"intensity",9
"introduce",9
"level",9
"methods",9
"motion",9
"position",9
"properties",9
"result",9
"studies",9
"techniques",9
"vix",9
"american",8
"approaches",8
"assumption",8
"assumptions",8
"cir",8
"closed",8
"constraints",8
"dependence",8
"efficient",8
"equilibrium",8
"evaluation",8
"execution",8
"expansions",8
"filtering",8
"fixed",8
"fractional",8
"heston",8
"includes",8
"increases",8
"jumps",8
"longa",8
"management",8
"markov",8
"parameters",8
"payoff",8
"property",8
"random",8
"semimartingale",8
"solve",8
"times",8
"unique",8
"account",7
"additional",7
"aversion",7
"book",7
"called",7
"data",7
"discrete",7
"drawdown",7
"empirical",7
"equity",7
"error",7
"family",7
"firm",7
"gains",7
"incomplete",7
"liquid",7
"literature",7
"nonlinear",7
"preferences",7
"reference",7
"representation",7
"risks",7
"scheme",7
"selling",7
"spreads",7
"studied",7
"sufficient",7
"system",7
"systems",7
"trade",7
"usv",7
"variance",7
"volatilities",7
"asymptotically",6
"average",6
"boundary",6
"bounded",6
"buy",6
"characterize",6
"claim",6
"complete",6
"compute",6
"construct",6
"continuity",6
"cost",6
"current",6
"debt",6
"demonstrate",6
"depend",6
"determine",6
"effect",6
"endogenous",6
"equivalent",6
"estimator",6
"extend",6
"formula",6
"indifference",6
"information",6
"lead",6
"levy",6
"lr",6
"markovian",6
"mathematical",6
"maximization",6
"modeled",6
"observed",6
"partial",6
"programming",6
"related",6
"reserve",6
"returns",6
"series",6
"setup",6
"shown",6
"single",6
"solved",6
"specific",6
"systemic",6
"tractable",6
"utilities",6
"values",6
"var",6
"wealth",6
"accuracy",5
"admissible",5
"adverse",5
"applied",5
"barrier",5
"capm",5
"condition",5
"constrained",5
"constraint",5
"consumption",5
"counterparty",5
"creditors",5
"density",5
"depending",5
"difference",5
"discuss",5
"due",5
"efficiency",5
"equilibria",5
"estimate",5
"estimates",5
"exchange",5
"exists",5
"expression",5
"extensions",5
"finance",5
"functional",5
"fundamental",5
"funds",5
"futures",5
"horizon",5
"identify",5
"increasing",5
"initial",5
"introduced",5
"joint",5
"latent",5
"lg",5
"li",5
"linear",5
"martingales",5
"maximum",5
"means",5
"merton",5
"notion",5
"numeraire",5
"numeraire",5
"original",5
"orlicz",5
"path",5
"pool",5
"power",5
"providing",5
"quantile",5
"realized",5
"region",5
"ross",5
"rough",5
"securities",5
"sense",5
"sided",5
"significant",5
"simple",5
"simulation",5
"sovereign",5
"space",5
"specifications",5
"stocks",5
"style",5
"timea",5
"traditional",5
"transform",5
"typically",5
"worsta",5
"absence",4
"adjustment",4
"almgren",4
"amount",4
"analytically",4
"approximate",4
"assuming",4
"backward",4
"behaviors",4
"belief",4
"bellman",4
"buyer's",4
"calibration",4
"carlo",4
"change",4
"characterization",4
"chriss",4
"classes",4
"close",4
"coefficients",4
"commodity",4
"common",4
"compare",4
"continuation",4
"contrast",4
"crisis",4
"criterion",4
"critical",4
"curve",4
"cva",4
"dark",4
"dates",4
"decay",4
"derived",4
"deviation",4
"discount",4
"distributions",4
"driven",4
"economic",4
"enables",4
"estimation",4
"exact",4
"examine",4
"existing",4
"expectation",4
"explain",4
"expressions",4
"field",4
"firsta",4
"forward",4
"frequency",4
"frictionless",4
"funding",4
"generalized",4
"hedge",4
"i",4
"insight",4
"insurance",4
"jacobi",4
"key",4
"lack",4
"leading",4
"libor",4
"log",4
"manipulation",4
"maximize",4
"maximizing",4
"minimal",4
"mixed",4
"monotone",4
"monte",4
